dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
telecom,LIA,heavy,complex,8,regular08,D5,100,3.356104,1498.879490,670.867188
telecom,LIA,heavy,complex,8,regular08,D6,100,3.391134,1234.436996,639.957031
telecom,LIA,heavy,complex,9,regular09,D4,100,3.620715,206.373705,510.511719
telecom,LIA,heavy,complex,9,regular09,D5,100,3.298439,55.612532,476.679688
telecom,LIA,heavy,complex,9,regular09,D6,100,4.866104,20.727782,476.152344
telecom,LIA,heavy,complex,10,regular10,D4,100,3.596994,168.886625,504.558594
telecom,LIA,heavy,complex,10,regular10,D5,100,3.518164,66.271040,479.832031
telecom,LIA,heavy,complex,10,regular10,D6,100,3.495424,24.034978,469.515625
telecom,LIA,heavy,complex,11,regular11,D4,100,3.439304,126.573365,496.296875
telecom,LIA,heavy,complex,11,regular11,D5,100,3.256740,95.215537,488.027344
telecom,LIA,heavy,complex,11,regular11,D6,100,13.183172,26.575304,469.402344
telecom,LIA,heavy,complex,12,regular12,D4,100,3.547234,4258.934031,887.699219
telecom,LIA,heavy,complex,12,regular12,D5,100,17.442976,4067.820019,900.027344
telecom,LIA,heavy,complex,12,regular12,D6,100,17.971288,1488.844612,671.562500
telecom,NRA,light,simple,1,regular01,D7,100,7.030304,21.688441,628.507812
telecom,NRA,light,simple,1,regular01,D8,100,7.162154,18.652926,640.667969
telecom,NRA,light,simple,1,regular01,D9,100,4.784367,1648.900834,867.339844
telecom,NRA,light,simple,1,regular01,D10,100,2.773956,1817.647165,855.003906
telecom,NRA,light,simple,2,regular02,D7,100,5.696382,19.683106,643.539062
telecom,NRA,light,simple,2,regular02,D8,100,5.706921,18.919787,642.074219
telecom,NRA,light,simple,2,regular02,D9,100,4.563616,1039.095961,825.421875
telecom,NRA,light,simple,2,regular02,D10,100,4.290555,902.660891,800.816406
telecom,NRA,light,simple,3,regular03,D7,100,4.454965,4479.361924,1112.882812
telecom,NRA,light,simple,3,regular03,D8,100,3.421920,4151.989443,1123.636719
telecom,NRA,light,simple,3,regular03,D9,100,4.387030,4481.785552,1157.218750
telecom,NRA,light,simple,3,regular03,D10,100,10796.035786,5579.601833,1275.007812
telecom,NRA,light,simple,4,regular04,D7,100,4.569926,625.039796,877.085938
telecom,NRA,light,simple,4,regular04,D8,100,7.184227,537.469915,866.632812
telecom,NRA,light,simple,4,regular04,D9,100,2.185155,3489.770734,1113.242188
telecom,NRA,light,simple,4,regular04,D10,100,4.246735,4039.476940,1171.804688
telecom,NRA,light,simple,5,regular05,D7,100,8.162070,17.013444,644.656250
telecom,NRA,light,simple,5,regular05,D8,100,6.960175,17.533561,643.539062
telecom,NRA,light,simple,5,regular05,D9,100,3.454210,4261.209288,1277.441406
telecom,NRA,light,simple,5,regular05,D10,100,4.411162,4699.697558,1296.792969
telecom,NRA,light,simple,6,regular06,D7,100,7.059077,15.106393,643.855469
telecom,NRA,light,simple,6,regular06,D8,100,6.577851,15.606650,642.656250
telecom,NRA,light,simple,6,regular06,D9,100,2.288769,347.241737,801.324219
telecom,NRA,light,simple,6,regular06,D10,100,9.021505,380.502503,814.886719
telecom,NRA,light,simple,7,regular07,D7,100,7.184937,17.507676,625.953125
telecom,NRA,light,simple,7,regular07,D8,100,7.227502,17.529917,643.601562
telecom,NRA,light,simple,7,regular07,D9,100,2.387179,4259.497612,1266.898438
telecom,NRA,light,simple,7,regular07,D10,100,16.050005,5249.599388,1368.710938
telecom,NRA,light,simple,8,regular08,D7,100,7.507574,363.733043,884.179688
telecom,NRA,light,simple,8,regular08,D8,100,6.932164,309.168203,855.859375
telecom,NRA,light,simple,8,regular08,D9,100,2.347795,3930.433526,1305.875000
telecom,NRA,light,simple,8,regular08,D10,100,4.362976,4369.348484,1335.621094
telecom,NRA,light,simple,9,regular09,D7,100,5.318577,19.644483,643.667969
telecom,NRA,light,simple,9,regular09,D8,100,8.404499,20.405800,640.773438
telecom,NRA,light,simple,9,regular09,D9,100,4.342807,4149.974286,1289.332031
telecom,NRA,light,simple,9,regular09,D10,100,4.588656,4149.534858,1314.855469
telecom,NRA,light,simple,10,regular10,D7,100,7.148541,20.550628,644.687500
telecom,NRA,light,simple,10,regular10,D8,100,3.641875,15.142898,642.656250
telecom,NRA,light,simple,10,regular10,D9,100,5.057771,4810.811413,1416.410156
telecom,NRA,light,simple,10,regular10,D10,100,4.333590,4039.343121,1339.722656
telecom,NRA,light,simple,11,regular11,D7,100,3.271467,15.966353,641.035156
telecom,NRA,light,simple,11,regular11,D8,100,8.515788,21.859300,642.855469
telecom,NRA,light,simple,11,regular11,D9,100,4.899482,4479.600098,1394.390625
telecom,NRA,light,simple,11,regular11,D10,100,2.112699,3930.618689,1295.433594
telecom,NRA,light,simple,12,regular12,D7,100,6.899384,600.110817,875.359375
telecom,NRA,light,simple,12,regular12,D8,100,4.403185,547.922420,837.562500
telecom,NRA,light,simple,12,regular12,D9,100,4.350904,4701.178805,1502.500000
