dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
ldbc01,LIA,light,complex,11,regular11,D5,100,1.863726,2.995228,301.761719
ldbc01,LIA,light,complex,11,regular11,D6,100,1.896346,2.983969,301.230469
ldbc01,LIA,light,complex,12,regular12,D4,100,2.005901,3.098614,301.605469
ldbc01,LIA,light,complex,12,regular12,D5,100,1.900426,3.035939,302.015625
ldbc01,LIA,light,complex,12,regular12,D6,100,1.908046,3.072289,318.183594
ldbc01,LIA,mid,complex,1,regular01,D4,100,2.064141,3.368468,317.644531
ldbc01,LIA,mid,complex,1,regular01,D5,100,2.003726,5.589932,316.941406
ldbc01,LIA,mid,complex,1,regular01,D6,100,3.240712,4.472935,366.773438
ldbc01,LIA,mid,complex,2,regular02,D4,100,1.879371,5.775985,333.687500
ldbc01,LIA,mid,complex,2,regular02,D5,100,1.834660,2.978720,301.753906
ldbc01,LIA,mid,complex,2,regular02,D6,100,3.090231,5.110543,373.800781
ldbc01,LIA,mid,complex,3,regular03,D4,100,1.941361,3.069270,301.691406
ldbc01,LIA,mid,complex,3,regular03,D5,100,1.936266,3.053189,302.000000
ldbc01,LIA,mid,complex,3,regular03,D6,100,3.127641,4.357629,366.363281
ldbc01,LIA,mid,complex,4,regular04,D4,100,1.932675,3.000345,301.585938
ldbc01,LIA,mid,complex,4,regular04,D5,100,1.960611,3.050018,301.582031
ldbc01,LIA,mid,complex,4,regular04,D6,100,3.141481,5.607681,374.019531
ldbc01,LIA,mid,complex,5,regular05,D4,100,2.025145,3.141980,302.191406
ldbc01,LIA,mid,complex,5,regular05,D5,100,1.990655,3.238396,317.207031
ldbc01,LIA,mid,complex,5,regular05,D6,100,3.177636,4.477577,374.269531
ldbc01,LIA,mid,complex,6,regular06,D4,100,1.801086,3.027431,317.015625
ldbc01,LIA,mid,complex,6,regular06,D5,100,1.799435,2.864184,301.203125
ldbc01,LIA,mid,complex,6,regular06,D6,100,3.082496,4.341909,373.980469
ldbc01,LIA,mid,complex,7,regular07,D4,100,1.998886,7.430433,317.730469
ldbc01,LIA,mid,complex,7,regular07,D5,100,1.900026,3.027935,301.992188
ldbc01,LIA,mid,complex,7,regular07,D6,100,3.202206,4.393372,358.765625
ldbc01,LIA,mid,complex,8,regular08,D4,100,1.940251,3.101261,316.507812
ldbc01,LIA,mid,complex,8,regular08,D5,100,1.904736,3.298349,324.472656
ldbc01,LIA,mid,complex,8,regular08,D6,100,3.213906,4.520469,366.464844
ldbc01,LIA,mid,complex,9,regular09,D4,100,1.997996,3.080956,302.105469
ldbc01,LIA,mid,complex,9,regular09,D5,100,1.963646,3.147798,317.042969
ldbc01,LIA,mid,complex,9,regular09,D6,100,3.230831,4.491389,366.917969
ldbc01,LIA,mid,complex,10,regular10,D4,100,1.971715,3.117074,301.750000
ldbc01,LIA,mid,complex,10,regular10,D5,100,1.895606,2.990570,302.152344
