dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
icij-leak,LIA,light,complex,1,regular01,D6,100,18.304680,27.176334,402.910156
icij-leak,LIA,light,complex,2,regular02,D4,100,15.312856,27.309826,379.250000
icij-leak,LIA,light,complex,2,regular02,D5,100,25.628313,28.455190,379.191406
icij-leak,LIA,light,complex,2,regular02,D6,100,17.688500,27.843814,379.183594
icij-leak,LIA,light,complex,3,regular03,D4,100,18.088755,26.706225,379.496094
icij-leak,LIA,light,complex,3,regular03,D5,100,27.094813,30.210336,379.074219
icij-leak,LIA,light,complex,3,regular03,D6,100,25.268114,31.116813,379.167969
icij-leak,LIA,light,complex,4,regular04,D4,100,15.717106,27.922176,379.558594
icij-leak,LIA,light,complex,4,regular04,D5,100,14.865866,30.904347,378.992188
icij-leak,LIA,light,complex,4,regular04,D6,100,26.232268,30.334702,379.039062
icij-leak,LIA,light,complex,5,regular05,D4,100,14.054776,25.321097,379.421875
icij-leak,LIA,light,complex,5,regular05,D5,100,26.279508,30.170622,379.312500
icij-leak,LIA,light,complex,5,regular05,D6,100,16.353580,27.029957,379.148438
icij-leak,LIA,light,complex,6,regular06,D4,100,15.882531,26.582692,383.031250
icij-leak,LIA,light,complex,6,regular06,D5,100,25.613053,28.185082,379.058594
icij-leak,LIA,light,complex,6,regular06,D6,100,15.041821,26.918201,378.675781
icij-leak,LIA,light,complex,7,regular07,D4,100,26.854639,28.296764,379.644531
icij-leak,LIA,light,complex,7,regular07,D5,100,15.034816,26.468640,378.980469
icij-leak,LIA,light,complex,7,regular07,D6,100,18.651450,26.969405,394.691406
icij-leak,LIA,light,complex,8,regular08,D4,100,15.610366,26.964078,379.179688
icij-leak,LIA,light,complex,8,regular08,D5,100,15.783171,26.967850,378.914062
icij-leak,LIA,light,complex,8,regular08,D6,100,23.594038,27.527712,379.511719
icij-leak,LIA,light,complex,9,regular09,D4,100,15.660616,27.249931,379.621094
icij-leak,LIA,light,complex,9,regular09,D5,100,18.135615,25.840725,379.417969
icij-leak,LIA,light,complex,9,regular09,D6,100,15.273771,26.915325,379.261719
icij-leak,LIA,light,complex,10,regular10,D4,100,15.429846,25.197008,379.234375
icij-leak,LIA,light,complex,10,regular10,D5,100,13.353237,22.931078,362.867188
icij-leak,LIA,light,complex,10,regular10,D6,100,14.628861,24.469968,379.332031
icij-leak,LIA,light,complex,11,regular11,D4,100,15.512391,24.146115,379.273438
icij-leak,LIA,light,complex,11,regular11,D5,100,15.065601,24.700270,378.816406
icij-leak,LIA,light,complex,11,regular11,D6,100,15.077746,26.806861,379.187500
icij-leak,LIA,light,complex,12,regular12,D4,100,16.403500,29.320652,379.296875
icij-leak,LIA,light,complex,12,regular12,D5,100,14.215611,23.555316,378.917969
icij-leak,LIA,light,complex,12,regular12,D6,100,15.081377,27.975880,379.527344
icij-leak,LIA,mid,complex,1,regular01,D4,100,14.067276,24.877018,433.578125
icij-leak,LIA,mid,complex,1,regular01,D5,100,15.876300,30.984238,458.027344
icij-leak,LIA,mid,complex,1,regular01,D6,100,18.172840,26.015097,442.156250
icij-leak,LIA,mid,complex,2,regular02,D4,100,14.788756,25.789578,448.203125
icij-leak,LIA,mid,complex,2,regular02,D5,100,14.351136,27.016295,449.031250
icij-leak,LIA,mid,complex,2,regular02,D6,100,16.657636,29.929699,442.546875
icij-leak,LIA,mid,complex,3,regular03,D4,100,32.525031,30.889847,449.386719
icij-leak,LIA,mid,complex,3,regular03,D5,100,26.008408,26.752790,448.929688
icij-leak,LIA,mid,complex,3,regular03,D6,100,23.713579,27.897217,442.363281
icij-leak,LIA,mid,complex,4,regular04,D4,100,15.355551,25.859276,450.023438
icij-leak,LIA,mid,complex,4,regular04,D5,100,15.345301,27.194356,448.625000
icij-leak,LIA,mid,complex,4,regular04,D6,100,17.172196,26.073075,442.324219
icij-leak,LIA,mid,complex,5,regular05,D4,100,15.145686,25.307517,448.949219
icij-leak,LIA,mid,complex,5,regular05,D5,100,14.169181,23.892613,449.398438
icij-leak,LIA,mid,complex,5,regular05,D6,100,14.286996,23.364268,442.320312
icij-leak,LIA,mid,complex,6,regular06,D4,100,15.117671,24.745138,432.769531
icij-leak,LIA,mid,complex,6,regular06,D5,100,14.253821,24.549121,448.949219
icij-leak,LIA,mid,complex,6,regular06,D6,100,14.822061,24.746471,442.039062
icij-leak,LIA,mid,complex,7,regular07,D4,100,13.410282,23.730045,449.121094
icij-leak,LIA,mid,complex,7,regular07,D5,100,15.645045,27.000004,433.175781
icij-leak,LIA,mid,complex,7,regular07,D6,100,14.765351,21.850399,442.226562
icij-leak,LIA,mid,complex,8,regular08,D4,100,15.073951,24.008817,441.070312
icij-leak,LIA,mid,complex,8,regular08,D5,100,12.830367,21.548552,448.578125
icij-leak,LIA,mid,complex,8,regular08,D6,100,15.069376,25.035038,442.429688
icij-leak,LIA,mid,complex,9,regular09,D4,100,15.147061,28.531388,441.484375
icij-leak,LIA,mid,complex,9,regular09,D5,100,13.804216,23.600163,441.480469
icij-leak,LIA,mid,complex,9,regular09,D6,100,16.548800,28.355609,442.601562
icij-leak,LIA,mid,complex,10,regular10,D4,100,16.875946,25.538518,441.382812
icij-leak,LIA,mid,complex,10,regular10,D5,100,14.567841,22.552221,441.496094
icij-leak,LIA,mid,complex,10,regular10,D6,100,17.752085,25.942049,442.199219
icij-leak,LIA,mid,complex,11,regular11,D4,100,13.021752,21.347042,448.742188
icij-leak,LIA,mid,complex,11,regular11,D5,100,13.665627,22.418425,448.312500
icij-leak,LIA,mid,complex,11,regular11,D6,100,14.282642,23.495440,443.367188
icij-leak,LIA,mid,complex,12,regular12,D4,100,14.555641,24.328527,441.484375
icij-leak,LIA,mid,complex,12,regular12,D5,100,15.956426,26.373807,441.437500
icij-leak,LIA,mid,complex,12,regular12,D6,100,15.292076,27.272105,442.132812
icij-leak,LIA,heavy,complex,1,regular01,D4,100,15.083531,24.534511,436.890625
icij-leak,LIA,heavy,complex,1,regular01,D5,100,15.149511,26.940860,449.609375
icij-leak,LIA,heavy,complex,1,regular01,D6,100,15.938961,24.546230,449.625000
icij-leak,LIA,heavy,complex,2,regular02,D4,100,13.167746,24.474268,436.089844
icij-leak,LIA,heavy,complex,2,regular02,D5,100,14.928211,23.833138,435.996094
icij-leak,LIA,heavy,complex,2,regular02,D6,100,15.307131,22.202694,442.003906
icij-leak,LIA,heavy,complex,3,regular03,D4,100,17.330801,27.090601,436.546875
icij-leak,LIA,heavy,complex,3,regular03,D5,100,14.600961,24.496402,436.824219
icij-leak,LIA,heavy,complex,3,regular03,D6,100,15.327361,24.965322,442.199219
icij-leak,LIA,heavy,complex,4,regular04,D4,100,14.055692,23.568645,436.511719
icij-leak,LIA,heavy,complex,4,regular04,D5,100,15.248481,25.675630,436.039062
icij-leak,LIA,heavy,complex,4,regular04,D6,100,16.252741,26.760852,442.125000
icij-leak,LIA,heavy,complex,5,regular05,D4,100,15.882005,25.326107,444.648438
icij-leak,LIA,heavy,complex,5,regular05,D5,100,14.915471,21.026319,444.523438
icij-leak,LIA,heavy,complex,5,regular05,D6,100,14.721287,22.158512,450.347656
icij-leak,LIA,heavy,complex,6,regular06,D4,100,13.989276,21.970693,444.156250
icij-leak,LIA,heavy,complex,6,regular06,D5,100,15.585876,24.175874,444.324219
icij-leak,LIA,heavy,complex,6,regular06,D6,100,14.978221,30.193749,449.144531
icij-leak,LIA,heavy,complex,7,regular07,D4,100,13.957396,26.147015,441.710938
icij-leak,LIA,heavy,complex,7,regular07,D5,100,13.668997,21.757259,436.308594
icij-leak,LIA,heavy,complex,7,regular07,D6,100,16.517535,24.182265,443.449219
icij-leak,LIA,heavy,complex,8,regular08,D4,100,14.021676,24.551311,436.734375
icij-leak,LIA,heavy,complex,8,regular08,D5,100,13.422057,22.714099,436.726562
icij-leak,LIA,heavy,complex,8,regular08,D6,100,14.156776,24.120670,442.480469
icij-leak,LIA,heavy,complex,9,regular09,D4,100,13.519056,23.326857,436.445312
icij-leak,LIA,heavy,complex,9,regular09,D5,100,12.544522,22.637007,436.496094
icij-leak,LIA,heavy,complex,9,regular09,D6,100,15.126256,20.268263,442.164062
icij-leak,LIA,heavy,complex,10,regular10,D4,100,14.371396,22.928046,436.570312
icij-leak,LIA,heavy,complex,10,regular10,D5,100,13.141606,22.567294,441.582031
icij-leak,LIA,heavy,complex,10,regular10,D6,100,15.482541,22.702364,442.437500
icij-leak,LIA,heavy,complex,11,regular11,D4,100,13.274662,21.002138,436.566406
icij-leak,LIA,heavy,complex,11,regular11,D5,100,13.131121,21.431313,436.257812
icij-leak,LIA,heavy,complex,11,regular11,D6,100,15.766326,25.543515,442.304688
icij-leak,LIA,heavy,complex,12,regular12,D4,100,15.390780,23.396339,436.609375
icij-leak,LIA,heavy,complex,12,regular12,D5,100,13.517022,22.154539,444.671875
icij-leak,LIA,heavy,complex,12,regular12,D6,100,15.813330,21.870850,442.148438
